id_relatorio_gestao,situacao_relatorio_gestao,parecer_relatorio_gestao,id_plano_acao,uf_beneficiario_plano_acao
4397,EM_ELABORACAO, ,21169,
4395,EM_ELABORACAO,,10285,
16215,DISPONIBILIZADO,Reforma do Ginásio Municipal,33740,
4271,EM_ELABORACAO,Segue relatório de Gestçao,12035,
2938,DISPONIBILIZADO,"Pavimentação Asfáltica da Rua João Assini, bairros Santo e Águas Negras, Município de Botuverá/SC, sendo o Trecho 1, 2 e 3, com extensão de 1.788,27 m.",18208,
15258,DISPONIBILIZADO,execução de serviços de pavimentação asfáltica no município de Caxias MA,66229,
7773,EM_ELABORACAO,"EXERCICIO  2023	 
	 
Repasse: R$ 400.000,00
Rendimento: R$ 486,13
Total Receita: R$ 400.486,13
 	 
Despesa	                    -  
 	 
Saldo final: R$ 400.486,13",33101,
13181,EM_ELABORACAO,Notificação Conselho,73954,
15402,DISPONIBILIZADO,"Atendimento adequado a condigno, com pronto atendimento medico aos municipes, serviço a ser realizado 24 horas por dia 7 dias por semana junto ao hospital São Gabriel Arcanjo.",31098,
8307,DISPONIBILIZADO,"Os recursos foram utilizados para pagamento parcial de obra de reforma e ampliação do lanchodromo municipal, que além de um incentivo ao turismo, trata-se de uma ação para fortalecimento da economia do município, pois o lanchodromo será destinado para venda de alimentos com estrutura completa de banheiro, para promoções de eventos e lazer, além disso, fica próximo a praça central da cidade onde são realizados inúmeros eventos, como carnaval, circulando cerca de 5.000 pessoas por noite.",38613,
16340,EM_ELABORACAO,REFORMA DA PRAÇA DO PARAÍSO,12887,
8652,DISPONIBILIZADO,"
RELATÓRIO DE GESTÃO 

BENEFICIÁRIO: MUNICÍPIO DE ITAGUAÇU/ES
PROGRAMA: 09032022
BANCO: CAIXA ECONÔMICA FEDERAL
AGÊNCIA: 1962
CONTA N°: 672009-1
EMENDA PARLAMENTAR: 202239120002
VALOR DO REPASSE: R$ 200.000,00 (duzentos mil reais)
VALOR EFETIVAMENTE EXECUTADO: R$ 81.948,98 (Oitenta e um mil, novecentos e quarenta e oito reais e noventa e oito centavos)
PARECER DO RELATÓRIO DE GESTÃO

Realizado Pregão Eletrônico nº 0044/2023, na data de 28 de setembro de 2023, processo nº 3657/2023, para aquisição dos equipamentos/materiais permanentes que culminou nas seguintes Atas de Registro de Preços: 
 - Ata de Registro de Preços nº 117/2023, celebrado entre o Município de Itaguaçu/ES e a empresa França Máquinas Ltda, no valor total de R$ 51.150,00 (cinquenta e um mil, cento e cinquenta reais);
- Ata de Registro de Preços nº 118/2023, celebrado entre o Município de Itaguaçu/ES e a empresa Maximus Comercio de Mercadorias Em Geral Ltda, no valor total de R$ 12.299,00 (doze mil, duzentos e noventa e nove reais);
- Ata de Registro de Preços nº 119/2023, celebrado entre o Município de Itaguaçu/ES e a empresa Reiz Comercio de Máquinas de Costura Ltda, no valor total de R$ 18.499,98 (dezoito mil, quatrocentos e noventa e nove reais e noventa e oito centavos);
Após a aquisição dos equipamentos/materiais permanentes pelo Município de Itaguaçu/ES, foi providenciado, pela Secretaria Municipal de Assistência Social, processo para dar início à Inexigibilidade de Chamamento Público, objetivando efetuar doação dos equipamentos/materiais permanentes adquiridos à ASSOCIAÇÃO DE COSTUREIRAS DE ITAGUAÇU/ES, devidamente inscrita no CNPJ sob o nº 32.204.932/0001-42 e tendo seu Estatuto Social atualizado.
O processo se deu à luz da Lei nº 13.019/2014 e suas alterações, haja vista que a doação dos equipamentos foi imprescindível para a continuidade da estruturação da rede têxtil, de modo a aprimorar e assegurar a qualidade dos serviços realizados, assim, propiciar melhorias e agilidade no desenvolvimento das atividades realizadas. A doação, buscou-se, ainda, dar melhores condições de trabalho as Associadas e propiciar maior geração de renda.
Conforme consta no Estatuto da ASSOCIAÇÃO DE COSTUREIRAS DE ITAGUAÇU – ACI, a Associação é designada como pessoa jurídica de direito privado, constituída por tempo indeterminado, sem fins econômicos, tem sua sede estabelecida na Rua Neusa Maciel da Silva, nº 212, Galpão A, Itaguaçu/ES, CEP 29.690-000. A Associação é constituída por mulheres empreendedoras, que dali extraem o sustento próprio e de suas famílias. 
Destaca-se que a referida ASSOCIAÇÃO DE COSTUREIRAS DE ITAGUAÇU - ACI, tem sido ao longo dos anos de fundamental importância para o grupo de mulheres associadas, suas famílias e a comunidade em geral. 
Enfatizamos que a ASSOCIAÇÃO DE COSTUREIRAS DE ITAGUAÇU/ES possui larga experiência prévia na realização das ações voltadas para a rede têxtil.
Realizado o processo em que resultou no Acordo de Cooperação Nº 002/2024, celebrado entre o Município de Itaguaçu/ES e a Associação das Costureiras de Itaguaçu – ACI, que teve por objeto doação de bens - Equipamentos/ Máquinas de costura eletrônicas e ferro a vapor industrial, o processo findou-se com  a doação dos equipamentos e os mesmos estão de posse e uso da Associação das Costureiras de Itaguaçu – ACI, o qual estão contribuindo na otimização de suas produções e consequentemente contribuindo para maior geração de renda.



Itaguaçu/ES, 15 de maio de 2024.


Uesley Roque Corteletti Thon
Prefeito Municipal de Itaguaçu-ES
",15482,
15757,DISPONIBILIZADO,PAVIMENTAÇÃO ASFÁLTICA DA RUA NICOLAU ZART,70678,
8309,EM_ELABORACAO,OBRAS DE URBANIZAÇÃO,21535,
15403,DISPONIBILIZADO,Deposito de contrapartida do pavimenta 2,35451,
5084,DISPONIBILIZADO,"Com o recurso recebido através de emenda especial - ministério da fazenda, foi executado trecho de pavimentação asfáltica em rua do município de Arroio do Meio.Em anexo, documentos referentes ao processo licitatório e execução da obra com pagamento.",3275,RS
4084,DISPONIBILIZADO,"Referência: Plano de Ação 09032021-012390 - Construção de Quiosques no município de Campo Limpo de Goiás - Prestação de contas final - Dados bancários: Agência 014 - Conta - 6672019-1
Faz-se menção à emenda acima detalhada, no valor de R$250.000,00, que originou a execução de construção de quiosques no município de Campo Limpo de Goiás. Apresentamos prestação de contas final a partir dos anexos abaixo que corroboram com a execução do referido objeto. 
",12390,
16318,EM_ELABORACAO,PAGAMENTOS REALIZADOS A EMPRESA COMPACTA SUL PAVIMENTAÇÃO LTDA EPP E DEVIDAS RETENÇÕES EFETUADAS,67152,
8649,DISPONIBILIZADO,"O município possui 640 propriedades rurais que praticam uma agricultura e pecuária diversificada responsável por 89% da economia. Adquirimos uma Retroescavadeira para auxiliar na estruturação das propriedades e manutenção dos acessos e rodovias de escoamento da produção, sendo vital para seu desenvolvimento e evolução. 
O processo de compra foi através da compra compartilhada junto ao Consórcio CINCATARINA, processo administrativo licitatório eletrônico “E-PAL” Nº 000117/2022 – e pregão, na forma eletrônica, nº 0088/2022, ata de registro de preços n° AT23CIN076030.
O trâmite ocorreu de forma normal e foi expedida a Autorização de Fornecimento nº 4323/2023 por parte da municipalidade.
A máquina foi vistoriada e atestado como de acordo com o pedido realizado e posteriormente efetuados os respectivos pagamentos. 
 	Objetivou-se com a aquisição melhorar a capacidade das Secretarias de Agricultura e Obras em atender as demandas dos agricultores e qualificar as ações de prestação de serviços para que os produtores rurais não sejam prejudicados no desenvolvimento de sua atividade.
",33073,
16304,EM_ELABORACAO,"Contratação de empresa para a aquisição de veículos para atender o Município de Bonfim/RR, através da Secretaria Municipal de Administração - SMAD da Prefeitura Municipal de Bonfim/RR.",33706,
3108,DISPONIBILIZADO,"A presente emenda destinada a investimentos neste município fora utilizada para execução de obra de recapeamento de pavimentação asfáltica CBUQ. Todo o rito administrativo foram acostados no processo 360-1/2022 com a finalidade de melhorar as condições de circulação em ruas e avenidas do município, bem como melhorar a parte estética da referida via, partindo da premissa que o pavimento existente na local está necessitando com urgência de reparos, sendo de grande importância, esta ação, para melhoria da qualidade de vida a todos os munícipes e outros que possam vir a trafegar por estas ruas e avenidas no município de Santa Luzia D'Oeste.",13906,
4245,DISPONIBILIZADO,"Este relatório tem como objetivo apresentar a gestão financeira da emenda especial federal recebida pelo órgão responsável durante o exercício de 2021, para o Município de Nova Itarana, estado da Bahia, através dos doc/minuta. nº 2021NME000003200 E 2021NME000000676 no valor de R$ 3.000.000,00 (três milhões de reais), sendo R$ 2.100.000,00 para  despesas de investimento e R$ 900.000,00 para despesas de custeio.
As metas planejadas foram alçadas e executadas em sua totalidade garantindo o pagamento das despesas, quais sejam:
Execução de obras, como pavimentação em paralelepípedos em diversas ruas da cidade, reformas de unidades administrativas em prédios do município, execução de obras de rede distribuição de água , reforma da praça no distrito do km100. Como também despesas de custeio para manutenção das atividades desenvolvidas por diversas secretarias do município de Nova Itarana.
Diante do exposto, os seguintes resultados foram alcançados: melhora no tráfego, com vistas a eliminar os entraves de mobilidade e fornecer subsídio aos trabalhadores locais para que possam obter retorno econômico e maior poder de participação na economia garantindo que toda a produção possa chegar aos grandes centros urbanos.

Dessa forma, conclui-se que todos os investimentos promoveram mobilidade, trafegabilidade, acessibilidade para todos, uma maior qualidade de vida para a população. 
Além do mais, favoreceu a economia, o lazer, o desenvolvimento econômico e social de Nova Itarana/BA, com a geração de oportunidades de empreendedorismo e uma melhor qualidade de vida para a população.
   Tânia Maria Silva Souza Andrade CRC: 019974 BA ,    Nova Itarana, 31 março de 2023.                                                                            
 ",11692,
15334,DISPONIBILIZADO,15.01.12.361.452.4542.2.144,12996,
3113,DISPONIBILIZADO,"Execução da Pavimentação em Trecho da Estrada geral , localizada na linha Campo Grande, interior do Município de Santa Terezinha do Progresso, conforme Boletim de medição 02.",9932,
3781,DISPONIBILIZADO,"O município realizou Edital de Licitação, Modalidade Tomada de Preços TP 08/22, com Edital publicado dia 18/11/2022. Abertura da Licitação em 13/12/2022, e Homologação em 13/12/2022. A referida trata de uma obra de Pavimentação asfáltica em CBUQ, em trecho de parte da Rua São Francisco. No edital consta que: "" As despesas correrão pelas seguintes dotações orçamentárias: 1,074 (Obras Asfalto - Transf. Especial - Emenda Individual), vínculos 1023 (Transf. Esp. Emenda Ind. 202236660001) e 1024 (Transf. Esp. Emenda Ind. 202237930006), despesa 449051 (Obras e Instalações). 1,025 (Obras de Pavimentação Urbana), vínculo 0001 (Livre), despesa 449051 (Obras e Instalações).
A Empresa vencedora da Licitação: Enphase Pavimentações Ltda, CNPJ: 93.336.030/0001-54. O contrato firmado com a empresa foi o Conasjur 106/2022, assinado em 13/12/2022. O valor da Obra licitada foi de R$ 198.978,06, com um aditivo realizado em 29/12/2022 de mais R$ 1.079,28, totalizando R$ 200.057,34. A Obra teve Ordem de Início dia 19/12/2022. O primeiro Boletim de medição foi emitido em 26/12/2022, já num valor de R$ 160.182,92.",19083,
1310,DISPONIBILIZADO,"Aquisição de 1 (um) Caminhão, tração 4x2, equipado com tanque metálico “Pipa” com capacidade de 10.000 litros, Zero Km, Modelo U36DE41, Ano 2021/2022, a Diesel, adquirido através do Processo Licitatório N. 3985/2021, Pregão Eletrônico N. 098/2021.
- Valor da compra do bem R$ 479.000,00.
Aquisição de 6 (seis) Veículos Picape compacto, cabine simples, 2 portas, 2 lugares, combustível flex (Álcool/gasolina), Volkswagen Saveiro Robust 1.6 CS cabine Simples Ano 2022. Adquirido através do Pregão Eletrônico N. 00077/22.
- Valor da compra do bem R$ 492.000,00.
Aquisição de 1 (um) Veículo tipo Van, motor diesel, carroceria tipo Baú, capacidade 18 passageiros, Ano/Modelo 2022, zero Km, adquirido através do Processo Licitatório No18521/2021, Pregão Eletrônico No00092/2022.
Recurso da Emenda  Especial        -  R$ 357.986,00
Contra Partida Prefeitura Três Rios - R$   14.504,00
Valor Total da compra do bem        - R$ 372.490,00.
",12865,
588,DISPONIBILIZADO,REALIZAÇÃO DE PAVIMENTAÇÃO ASFÁLTICA EM CBUQ (CONCRETO BETUMINOSO USINADO A QUENTE) E SINALIZAÇÃO PARA PROLONGAMENTO NA RUA ELISA CRISTINA SIQUEIRA LOTEAMENTO RESIDENCIAL SERRA NOVA.,3903,MG
16007,DISPONIBILIZADO,"Edital de licitação Pregão Eletrônico 99/2021 para a aquisição de VEÍCULO NOVO ZERO KM ANO/MODELO 2021 COM BAÚ ISOTÉRMICO, Contrato  63/2021 empresa FIPAL DISTRIBUIDORA DE VEÍCULOS LTDA",12409,
8654,DISPONIBILIZADO,"Este relatório visa avaliar a eficiência na aplicação dos recursos destinados a projetos de
infraestrutura urbana, conforme os requisitos legislativos e as diretrizes estabelecidas pela plataforma
Transferegov.br. Este documento apresenta o contexto geral dos projetos, a alocação de recursos, a
estimativa financeira necessária, a classificação orçamentária, os prazos previstos, a documentação de
suporte, e propõe mecanismos de monitoramento e avaliação da emenda nº 40990002 recebida pela
Secretaria de Estado da Infraestrutura.",31945,
604,EM_ELABORACAO,Aquisição de Motoniveladora,4303,
2380,DISPONIBILIZADO,"contratação sob o regime de empreitada por preço global, para execução da pavimentação em trecho da Estrada Geral, localizada na Linha Campo Grande, interior do Município de Santa Terezinha do progresso de acordo com os projetos, memoriais descritivos e orçamentos em anexos. Fonte de recursos: trecho I portaria SEF nº 321/2021, portaria SEF nº 390, processo nº SCC00017207/2021, SEI, e trecho VI portaria SEF nº 535/2021, alterada para portaria SEF nº 102/2022, processo nº 00017021/202, SEI. Na modalidade Transferência Especial Voluntária conforme Portaria SEF nº 321/2021, do Estado de Santa Catarina/Secretaria de Estado de Infraestrutura e Mobilidade. Na modalidade de Transferências Especiais/Ministério da Economia nº 37860003; 28550001 e 256900003, e recursos próprios, cujo fornecedora é MODELMAQ TERRAPLANAGEM E SRVIÇOS LTDA, inscrita no CNPJ nº 08.968.958/0001-82, mediante Processo Licitatório nº 50/2022 – Tomada de Preço 06/2022, contrato nº 59/2022, ",10413,
699,EM_ELABORACAO,Conclusão de obras,9768,
749,EM_ELABORACAO,Objeto executado,9534,
