id_empenho,id_minuta_empenho,numero_empenho,situacao_empenho,descricao_situacao_empenho,tipo_documento_empenho,descricao_tipo_documento_empenho,status_processamento_empenho,ug_responsavel_empenho,ug_emitente_empenho,descricao_ug_emitente_empenho,fonte_recurso_empenho,plano_interno_empenho,ptres_empenho,grupo_natureza_despesa_empenho,natureza_despesa_empenho,subitem_empenho,categoria_despesa_empenho,modalidade_despesa_empenho,cnpj_beneficiario_empenho,nome_beneficiario_empenho,uf_beneficiario_empenho,numero_ro_empenho,data_emissao_empenho,prioridade_desbloqueio_empenho,valor_empenho,id_plano_acao
30563,2023NME000026114,2023NE006028,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218866.0,4,444041,45,INVESTIMENTO,40,45739174000109,MUNICIPIO DE AGUAS DE SAO PEDRO,SP,2023RO006064,2023-07-05,6,2000000.0,36982
27374,2023NME000022923,2023NE006119,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218175.0,4,444041,23,INVESTIMENTO,40,18602060000140,MUNICIPIO DE PRESIDENTE OLEGARIO,MG,2023RO006155,2023-07-05,77,100000.0,33794
31394,2023NME000026945,2023NE006130,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219031.0,4,444041,45,INVESTIMENTO,40,45093267000109,MUNICIPIO DE BADY BASSITT,SP,2023RO006166,2023-07-05,106,300000.0,37813
31695,2023NME000027246,2023NE006195,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219101.0,4,444041,48,INVESTIMENTO,40,25064023000190,MUNICIPIO DE CARRASCO BONITO,TO,2023RO006231,2023-07-05,17,300000.0,38113
16567,2022NME000009786,2022NE007717,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,16925208000151,MUNICIPIO DE RIACHO DOS MACHADOS,MG,2022RO007758,2022-05-17,49,100000.0,14810
16563,2022NME000009782,2022NE007720,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,18650945000114,MUNICIPIO DE MONTE AZUL,MG,2022RO007761,2022-05-17,25,250000.0,14806
24739,2023NME000020288,2023NE006267,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218280.0,3,334041,45,CUSTEIO,40,45276128000110,MUNICIPIO DE ARARAQUARA,SP,2023RO006303,2023-07-05,29,300000.0,32654
16569,2022NME000009788,2022NE007727,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,25224304000163,MUNICIPIO DE ICARAI DE MINAS,MG,2022RO007768,2022-05-17,36,150000.0,14814
16565,2022NME000009784,2022NE007731,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,22679153000140,MUNICIPIO DE SAO FRANCISCO,MG,2022RO007772,2022-05-17,22,350000.0,14808
16566,2022NME000009785,2022NE007738,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,18017459000163,MUNICIPIO DE UBAI,MG,2022RO007779,2022-05-17,46,350000.0,14809
16568,2022NME000009787,2022NE007743,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207633.0,4,444041,23,INVESTIMENTO,40,17697152000198,MUNICIPIO DE ENGENHEIRO NAVARRO,MG,2022RO007784,2022-05-17,50,200000.0,14812
24748,2023NME000020297,2023NE006068,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219085.0,3,334041,23,CUSTEIO,40,18349894000195,MUNICIPIO DE ALMENARA,MG,2023RO006104,2023-07-05,76,90000.0,32705
24884,2023NME000020433,2023NE006228,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218211.0,3,334041,45,CUSTEIO,40,51455087000122,VARGEM GRANDE PAULISTA,SP,2023RO006264,2023-07-05,88,100000.0,33090
16571,2022NME000009790,2022NE006654,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,0188000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03073673000160,MUNICIPIO DE BONITO,MS,2022RO006695,2022-05-17,33,500000.0,14818
15405,2022NME000008624,2022NE002733,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207051.0,3,334041,07,CUSTEIO,40,16444069000144,MUNICIPIO DE NOVA FATIMA,BA,2022RO002774,2022-05-17,61,150000.0,14989
24694,2023NME000020243,2023NE006339,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218975.0,3,334041,37,CUSTEIO,40,08004525000107,IELMO MARINHO,RN,2023RO006375,2023-07-05,43,50022.0,32481
16573,2022NME000009792,2022NE006648,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03173317000118,MUNICIPIO DE NOVA ANDRADINA,MS,2022RO006689,2022-05-17,41,300000.0,14821
